bioma,id_nublada,id_limpia,nubes_porcentaje,nublado_B04,nublado_SCL,limpio_B04
bosque,S2B_MSIL2A_20231226T160509_R054_T16PHS_20231226T214552,S2A_MSIL2A_20231221T160511_R054_T16PGR_20231221T232051,39.324594,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/HS/2023/12/26/S2B_MSIL2A_20231226T160509_N0510_R054_T16PHS_20231226T214552.SAFE/GRANULE/L2A_T16PHS_A035544_20231226T160510/IMG_DATA/R10m/T16PHS_20231226T160509_B04_10m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/HS/2023/12/26/S2B_MSIL2A_20231226T160509_N0510_R054_T16PHS_20231226T214552.SAFE/GRANULE/L2A_T16PHS_A035544_20231226T160510/IMG_DATA/R20m/T16PHS_20231226T160509_SCL_20m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/GR/2023/12/21/S2A_MSIL2A_20231221T160511_N0510_R054_T16PGR_20231221T232051.SAFE/GRANULE/L2A_T16PGR_A044381_20231221T160856/IMG_DATA/R10m/T16PGR_20231221T160511_B04_10m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D
bosque,S2A_MSIL2A_20231211T160501_R054_T16PHS_20241022T041348,S2A_MSIL2A_20231221T160511_R054_T16PGR_20231221T232051,33.067667,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/HS/2023/12/11/S2A_MSIL2A_20231211T160501_N0510_R054_T16PHS_20241022T041348.SAFE/GRANULE/L2A_T16PHS_A044238_20231211T160504/IMG_DATA/R10m/T16PHS_20231211T160501_B04_10m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/HS/2023/12/11/S2A_MSIL2A_20231211T160501_N0510_R054_T16PHS_20241022T041348.SAFE/GRANULE/L2A_T16PHS_A044238_20231211T160504/IMG_DATA/R20m/T16PHS_20231211T160501_SCL_20m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/GR/2023/12/21/S2A_MSIL2A_20231221T160511_N0510_R054_T16PGR_20231221T232051.SAFE/GRANULE/L2A_T16PGR_A044381_20231221T160856/IMG_DATA/R10m/T16PGR_20231221T160511_B04_10m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D
bosque,S2A_MSIL2A_20231211T160501_R054_T16PHS_20231213T005147,S2A_MSIL2A_20231221T160511_R054_T16PGR_20231221T232051,40.146688,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/HS/2023/12/11/S2A_MSIL2A_20231211T160501_N0509_R054_T16PHS_20231213T005147.SAFE/GRANULE/L2A_T16PHS_A044238_20231211T160504/IMG_DATA/R10m/T16PHS_20231211T160501_B04_10m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/HS/2023/12/11/S2A_MSIL2A_20231211T160501_N0509_R054_T16PHS_20231213T005147.SAFE/GRANULE/L2A_T16PHS_A044238_20231211T160504/IMG_DATA/R20m/T16PHS_20231211T160501_SCL_20m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/GR/2023/12/21/S2A_MSIL2A_20231221T160511_N0510_R054_T16PGR_20231221T232051.SAFE/GRANULE/L2A_T16PGR_A044381_20231221T160856/IMG_DATA/R10m/T16PGR_20231221T160511_B04_10m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D
bosque,S2A_MSIL2A_20231201T160501_R054_T16PHS_20231201T221444,S2A_MSIL2A_20231221T160511_R054_T16PGR_20231221T232051,48.360124,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/HS/2023/12/01/S2A_MSIL2A_20231201T160501_N0509_R054_T16PHS_20231201T221444.SAFE/GRANULE/L2A_T16PHS_A044095_20231201T160501/IMG_DATA/R10m/T16PHS_20231201T160501_B04_10m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/HS/2023/12/01/S2A_MSIL2A_20231201T160501_N0509_R054_T16PHS_20231201T221444.SAFE/GRANULE/L2A_T16PHS_A044095_20231201T160501/IMG_DATA/R20m/T16PHS_20231201T160501_SCL_20m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/GR/2023/12/21/S2A_MSIL2A_20231221T160511_N0510_R054_T16PGR_20231221T232051.SAFE/GRANULE/L2A_T16PGR_A044381_20231221T160856/IMG_DATA/R10m/T16PGR_20231221T160511_B04_10m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D
bosque,S2B_MSIL2A_20231126T160509_R054_T16PHS_20241011T182105,S2A_MSIL2A_20231221T160511_R054_T16PGR_20231221T232051,54.946142,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/HS/2023/11/26/S2B_MSIL2A_20231126T160509_N0510_R054_T16PHS_20241011T182105.SAFE/GRANULE/L2A_T16PHS_A035115_20231126T160545/IMG_DATA/R10m/T16PHS_20231126T160509_B04_10m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/HS/2023/11/26/S2B_MSIL2A_20231126T160509_N0510_R054_T16PHS_20241011T182105.SAFE/GRANULE/L2A_T16PHS_A035115_20231126T160545/IMG_DATA/R20m/T16PHS_20231126T160509_SCL_20m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/GR/2023/12/21/S2A_MSIL2A_20231221T160511_N0510_R054_T16PGR_20231221T232051.SAFE/GRANULE/L2A_T16PGR_A044381_20231221T160856/IMG_DATA/R10m/T16PGR_20231221T160511_B04_10m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D
bosque,S2B_MSIL2A_20230609T160519_R054_T16PHS_20240927T073024,S2B_MSIL2A_20230510T160519_R054_T16PGR_20230510T212728,39.159635,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/HS/2023/06/09/S2B_MSIL2A_20230609T160519_N0510_R054_T16PHS_20240927T073024.SAFE/GRANULE/L2A_T16PHS_A032684_20230609T160514/IMG_DATA/R10m/T16PHS_20230609T160519_B04_10m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/HS/2023/06/09/S2B_MSIL2A_20230609T160519_N0510_R054_T16PHS_20240927T073024.SAFE/GRANULE/L2A_T16PHS_A032684_20230609T160514/IMG_DATA/R20m/T16PHS_20230609T160519_SCL_20m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/GR/2023/05/10/S2B_MSIL2A_20230510T160519_N0509_R054_T16PGR_20230510T212728.SAFE/GRANULE/L2A_T16PGR_A032255_20230510T160513/IMG_DATA/R10m/T16PGR_20230510T160519_B04_10m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D
bosque,S2B_MSIL2A_20230609T160519_R054_T16PHS_20230609T213539,S2B_MSIL2A_20230510T160519_R054_T16PGR_20230510T212728,39.171299,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/HS/2023/06/09/S2B_MSIL2A_20230609T160519_N0509_R054_T16PHS_20230609T213539.SAFE/GRANULE/L2A_T16PHS_A032684_20230609T160514/IMG_DATA/R10m/T16PHS_20230609T160519_B04_10m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/HS/2023/06/09/S2B_MSIL2A_20230609T160519_N0509_R054_T16PHS_20230609T213539.SAFE/GRANULE/L2A_T16PHS_A032684_20230609T160514/IMG_DATA/R20m/T16PHS_20230609T160519_SCL_20m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/GR/2023/05/10/S2B_MSIL2A_20230510T160519_N0509_R054_T16PGR_20230510T212728.SAFE/GRANULE/L2A_T16PGR_A032255_20230510T160513/IMG_DATA/R10m/T16PGR_20230510T160519_B04_10m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D
bosque,S2B_MSIL2A_20230530T160519_R054_T16PHS_20240810T123108,S2B_MSIL2A_20230510T160519_R054_T16PGR_20230510T212728,46.482253,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/HS/2023/05/30/S2B_MSIL2A_20230530T160519_N0510_R054_T16PHS_20240810T123108.SAFE/GRANULE/L2A_T16PHS_A032541_20230530T160846/IMG_DATA/R10m/T16PHS_20230530T160519_B04_10m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/HS/2023/05/30/S2B_MSIL2A_20230530T160519_N0510_R054_T16PHS_20240810T123108.SAFE/GRANULE/L2A_T16PHS_A032541_20230530T160846/IMG_DATA/R20m/T16PHS_20230530T160519_SCL_20m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/GR/2023/05/10/S2B_MSIL2A_20230510T160519_N0509_R054_T16PGR_20230510T212728.SAFE/GRANULE/L2A_T16PGR_A032255_20230510T160513/IMG_DATA/R10m/T16PGR_20230510T160519_B04_10m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D
bosque,S2B_MSIL2A_20230530T160519_R054_T16PHS_20230530T232448,S2B_MSIL2A_20230510T160519_R054_T16PGR_20230510T212728,54.747492,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/HS/2023/05/30/S2B_MSIL2A_20230530T160519_N0509_R054_T16PHS_20230530T232448.SAFE/GRANULE/L2A_T16PHS_A032541_20230530T160846/IMG_DATA/R10m/T16PHS_20230530T160519_B04_10m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/HS/2023/05/30/S2B_MSIL2A_20230530T160519_N0509_R054_T16PHS_20230530T232448.SAFE/GRANULE/L2A_T16PHS_A032541_20230530T160846/IMG_DATA/R20m/T16PHS_20230530T160519_SCL_20m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/GR/2023/05/10/S2B_MSIL2A_20230510T160519_N0509_R054_T16PGR_20230510T212728.SAFE/GRANULE/L2A_T16PGR_A032255_20230510T160513/IMG_DATA/R10m/T16PGR_20230510T160519_B04_10m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D
bosque,S2A_MSIL2A_20230525T160511_R054_T16PHS_20240908T164831,S2B_MSIL2A_20230510T160519_R054_T16PGR_20230510T212728,57.6882,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/HS/2023/05/25/S2A_MSIL2A_20230525T160511_N0510_R054_T16PHS_20240908T164831.SAFE/GRANULE/L2A_T16PHS_A041378_20230525T160513/IMG_DATA/R10m/T16PHS_20230525T160511_B04_10m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/HS/2023/05/25/S2A_MSIL2A_20230525T160511_N0510_R054_T16PHS_20240908T164831.SAFE/GRANULE/L2A_T16PHS_A041378_20230525T160513/IMG_DATA/R20m/T16PHS_20230525T160511_SCL_20m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/16/P/GR/2023/05/10/S2B_MSIL2A_20230510T160519_N0509_R054_T16PGR_20230510T212728.SAFE/GRANULE/L2A_T16PGR_A032255_20230510T160513/IMG_DATA/R10m/T16PGR_20230510T160519_B04_10m.tif?st=2026-02-01T03%3A36%3A50Z&se=2026-02-02T04%3A21%3A50Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-01T04%3A48%3A12Z&ske=2026-02-08T04%3A48%3A12Z&sks=b&skv=2025-07-05&sig=9neRJOMtj5x/era8G9r6Kcp/QMN8lYPaJXVLkl382gw%3D
