bioma,id_nublada,id_limpia,nubes_porcentaje,nublado_B04,nublado_SCL,limpio_B04
bosque,S2A_MSIL2A_20231218T141711_R010_T20MRB_20231220T103346,S2B_MSIL2A_20231206T142709_R053_T20MRA_20231206T181627,23.725198,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RB/2023/12/18/S2A_MSIL2A_20231218T141711_N0510_R010_T20MRB_20231220T103346.SAFE/GRANULE/L2A_T20MRB_A044337_20231218T141706/IMG_DATA/R10m/T20MRB_20231218T141711_B04_10m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RB/2023/12/18/S2A_MSIL2A_20231218T141711_N0510_R010_T20MRB_20231220T103346.SAFE/GRANULE/L2A_T20MRB_A044337_20231218T141706/IMG_DATA/R20m/T20MRB_20231218T141711_SCL_20m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RA/2023/12/06/S2B_MSIL2A_20231206T142709_N0509_R053_T20MRA_20231206T181627.SAFE/GRANULE/L2A_T20MRA_A035257_20231206T142709/IMG_DATA/R10m/T20MRA_20231206T142709_B04_10m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D
bosque,S2B_MSIL2A_20231206T142709_R053_T20MRB_20241107T173636,S2B_MSIL2A_20231206T142709_R053_T20MRA_20231206T181627,34.149659,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RB/2023/12/06/S2B_MSIL2A_20231206T142709_N0510_R053_T20MRB_20241107T173636.SAFE/GRANULE/L2A_T20MRB_A035257_20231206T142709/IMG_DATA/R10m/T20MRB_20231206T142709_B04_10m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RB/2023/12/06/S2B_MSIL2A_20231206T142709_N0510_R053_T20MRB_20241107T173636.SAFE/GRANULE/L2A_T20MRB_A035257_20231206T142709/IMG_DATA/R20m/T20MRB_20231206T142709_SCL_20m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RA/2023/12/06/S2B_MSIL2A_20231206T142709_N0509_R053_T20MRA_20231206T181627.SAFE/GRANULE/L2A_T20MRA_A035257_20231206T142709/IMG_DATA/R10m/T20MRA_20231206T142709_B04_10m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D
bosque,S2B_MSIL2A_20231206T142709_R053_T20MRB_20231206T181630,S2B_MSIL2A_20231206T142709_R053_T20MRA_20231206T181627,34.701788,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RB/2023/12/06/S2B_MSIL2A_20231206T142709_N0509_R053_T20MRB_20231206T181630.SAFE/GRANULE/L2A_T20MRB_A035257_20231206T142709/IMG_DATA/R10m/T20MRB_20231206T142709_B04_10m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RB/2023/12/06/S2B_MSIL2A_20231206T142709_N0509_R053_T20MRB_20231206T181630.SAFE/GRANULE/L2A_T20MRB_A035257_20231206T142709/IMG_DATA/R20m/T20MRB_20231206T142709_SCL_20m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RA/2023/12/06/S2B_MSIL2A_20231206T142709_N0509_R053_T20MRA_20231206T181627.SAFE/GRANULE/L2A_T20MRA_A035257_20231206T142709/IMG_DATA/R10m/T20MRA_20231206T142709_B04_10m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D
bosque,S2A_MSIL2A_20231111T142711_R053_T20MRB_20241031T144431,S2B_MSIL2A_20231206T142709_R053_T20MRA_20231206T181627,23.462209,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RB/2023/11/11/S2A_MSIL2A_20231111T142711_N0510_R053_T20MRB_20241031T144431.SAFE/GRANULE/L2A_T20MRB_A043808_20231111T142711/IMG_DATA/R10m/T20MRB_20231111T142711_B04_10m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RB/2023/11/11/S2A_MSIL2A_20231111T142711_N0510_R053_T20MRB_20241031T144431.SAFE/GRANULE/L2A_T20MRB_A043808_20231111T142711/IMG_DATA/R20m/T20MRB_20231111T142711_SCL_20m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RA/2023/12/06/S2B_MSIL2A_20231206T142709_N0509_R053_T20MRA_20231206T181627.SAFE/GRANULE/L2A_T20MRA_A035257_20231206T142709/IMG_DATA/R10m/T20MRA_20231206T142709_B04_10m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D
bosque,S2A_MSIL2A_20231111T142711_R053_T20MRB_20231111T210842,S2B_MSIL2A_20231206T142709_R053_T20MRA_20231206T181627,23.513471,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RB/2023/11/11/S2A_MSIL2A_20231111T142711_N0509_R053_T20MRB_20231111T210842.SAFE/GRANULE/L2A_T20MRB_A043808_20231111T142711/IMG_DATA/R10m/T20MRB_20231111T142711_B04_10m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RB/2023/11/11/S2A_MSIL2A_20231111T142711_N0509_R053_T20MRB_20231111T210842.SAFE/GRANULE/L2A_T20MRB_A043808_20231111T142711/IMG_DATA/R20m/T20MRB_20231111T142711_SCL_20m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RA/2023/12/06/S2B_MSIL2A_20231206T142709_N0509_R053_T20MRA_20231206T181627.SAFE/GRANULE/L2A_T20MRA_A035257_20231206T142709/IMG_DATA/R10m/T20MRA_20231206T142709_B04_10m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D
bosque,S2A_MSIL2A_20231029T141711_R010_T20MRB_20231029T201328,S2A_MSIL2A_20231128T141701_R010_T20MRB_20241110T035850,21.148255,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RB/2023/10/29/S2A_MSIL2A_20231029T141711_N0509_R010_T20MRB_20231029T201328.SAFE/GRANULE/L2A_T20MRB_A043622_20231029T142313/IMG_DATA/R10m/T20MRB_20231029T141711_B04_10m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RB/2023/10/29/S2A_MSIL2A_20231029T141711_N0509_R010_T20MRB_20231029T201328.SAFE/GRANULE/L2A_T20MRB_A043622_20231029T142313/IMG_DATA/R20m/T20MRB_20231029T141711_SCL_20m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RB/2023/11/28/S2A_MSIL2A_20231128T141701_N0510_R010_T20MRB_20241110T035850.SAFE/GRANULE/L2A_T20MRB_A044051_20231128T141702/IMG_DATA/R10m/T20MRB_20231128T141701_B04_10m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D
bosque,S2A_MSIL2A_20231019T141711_R010_T20MRB_20240925T182746,S2B_MSIL2A_20231116T142709_R053_T20MRC_20241109T134149,41.695356,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RB/2023/10/19/S2A_MSIL2A_20231019T141711_N0510_R010_T20MRB_20240925T182746.SAFE/GRANULE/L2A_T20MRB_A043479_20231019T142038/IMG_DATA/R10m/T20MRB_20231019T141711_B04_10m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RB/2023/10/19/S2A_MSIL2A_20231019T141711_N0510_R010_T20MRB_20240925T182746.SAFE/GRANULE/L2A_T20MRB_A043479_20231019T142038/IMG_DATA/R20m/T20MRB_20231019T141711_SCL_20m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RC/2023/11/16/S2B_MSIL2A_20231116T142709_N0510_R053_T20MRC_20241109T134149.SAFE/GRANULE/L2A_T20MRC_A034971_20231116T143044/IMG_DATA/R10m/T20MRC_20231116T142709_B04_10m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D
bosque,S2A_MSIL2A_20231019T141711_R010_T20MRB_20231019T193740,S2B_MSIL2A_20231116T142709_R053_T20MRC_20241109T134149,42.456111,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RB/2023/10/19/S2A_MSIL2A_20231019T141711_N0509_R010_T20MRB_20231019T193740.SAFE/GRANULE/L2A_T20MRB_A043479_20231019T142038/IMG_DATA/R10m/T20MRB_20231019T141711_B04_10m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RB/2023/10/19/S2A_MSIL2A_20231019T141711_N0509_R010_T20MRB_20231019T193740.SAFE/GRANULE/L2A_T20MRB_A043479_20231019T142038/IMG_DATA/R20m/T20MRB_20231019T141711_SCL_20m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RC/2023/11/16/S2B_MSIL2A_20231116T142709_N0510_R053_T20MRC_20241109T134149.SAFE/GRANULE/L2A_T20MRC_A034971_20231116T143044/IMG_DATA/R10m/T20MRC_20231116T142709_B04_10m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D
bosque,S2B_MSIL2A_20231017T142719_R053_T20MRB_20241102T182243,S2B_MSIL2A_20231116T142709_R053_T20MRC_20241109T134149,28.307888,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RB/2023/10/17/S2B_MSIL2A_20231017T142719_N0510_R053_T20MRB_20241102T182243.SAFE/GRANULE/L2A_T20MRB_A034542_20231017T143221/IMG_DATA/R10m/T20MRB_20231017T142719_B04_10m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RB/2023/10/17/S2B_MSIL2A_20231017T142719_N0510_R053_T20MRB_20241102T182243.SAFE/GRANULE/L2A_T20MRB_A034542_20231017T143221/IMG_DATA/R20m/T20MRB_20231017T142719_SCL_20m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RC/2023/11/16/S2B_MSIL2A_20231116T142709_N0510_R053_T20MRC_20241109T134149.SAFE/GRANULE/L2A_T20MRC_A034971_20231116T143044/IMG_DATA/R10m/T20MRC_20231116T142709_B04_10m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D
bosque,S2B_MSIL2A_20231017T142719_R053_T20MRB_20231017T213423,S2B_MSIL2A_20231116T142709_R053_T20MRC_20241109T134149,28.358117,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RB/2023/10/17/S2B_MSIL2A_20231017T142719_N0509_R053_T20MRB_20231017T213423.SAFE/GRANULE/L2A_T20MRB_A034542_20231017T143221/IMG_DATA/R10m/T20MRB_20231017T142719_B04_10m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RB/2023/10/17/S2B_MSIL2A_20231017T142719_N0509_R053_T20MRB_20231017T213423.SAFE/GRANULE/L2A_T20MRB_A034542_20231017T143221/IMG_DATA/R20m/T20MRB_20231017T142719_SCL_20m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/20/M/RC/2023/11/16/S2B_MSIL2A_20231116T142709_N0510_R053_T20MRC_20241109T134149.SAFE/GRANULE/L2A_T20MRC_A034971_20231116T143044/IMG_DATA/R10m/T20MRC_20231116T142709_B04_10m.tif?st=2026-02-02T19%3A37%3A56Z&se=2026-02-03T20%3A22%3A56Z&sp=rl&sv=2025-07-05&sr=c&skoid=9c8ff44a-6a2c-4dfb-b298-1c9212f64d9a&sktid=72f988bf-86f1-41af-91ab-2d7cd011db47&skt=2026-02-03T19%3A09%3A28Z&ske=2026-02-10T19%3A09%3A28Z&sks=b&skv=2025-07-05&sig=bcXXVuoeeM6VBJl4oxpAbDtn/sYNGzrjV6dcegTyIIU%3D
